Seoul,South Korea,Korail metro lines,1994,2022,86,151.7 km (94.3 mi),426.4 (2019)
Seoul,South Korea,Shinbundang Line (Neo Trans),2011,2022,16,33.4 km (20.8 mi),122.5 (2019)
Kuala Lumpur,Malaysia,Rapid KL,1996,2023,129,196.2 km (121.9 mi),19.5 (2020)
Guadalajara,Mexico,Guadalajara Electric Rail System,1989,2020,46,46.5 km (28.9 mi),114.5 (2021)
Mexico City,Mexico,Mexico City Metro,1969,2012,163,200.88 km (124.82 mi),935.2 (2020)
Monterrey,Mexico,Metrorrey,1991,2021,38,40.2 km (25.0 mi),109.9 (2020)
Amsterdam,Netherlands,Amsterdam Metro,1977,2018,39,41.2 km (25.6 mi),111.3 (2019)
Rotterdam,Netherlands,Rotterdam Metro,1968,2023,71,103.1 km (64.1 mi),99 (2019)
Lagos,Nigeria,Lagos Rail Mass Transit,2023,–,5,13 km (8.1 mi),-
Oslo,Norway,Oslo Metro,1966,2016,101,85 km (53 mi),74 (2020)
Lahore,Pakistan,Lahore Metro,2020,–,26,27.1 km (16.8 mi),20 (2020-2021)
Panama City,Panama,Panama Metro,2014,2023,31,39.3 km (24.4 mi),49.9 (2020)
Lima,Peru,Lima Metro,2011,2014,26,34.6 km (21.5 mi),110.4 (2018)
Manila,Philippines,Manila Light Rail Transit System,1984,2021,33,37.2 km (23.1 mi),218.2 (2019)
Manila,Philippines,Manila Metro Rail Transit System,1999,2000,13,16.9 km (10.5 mi),96.9 (2019)
Warsaw,Poland,Warsaw Metro,1995,2022,38,41.3 km (25.7 mi),195.4 (2019)
Lisbon,Portugal,Lisbon Metro,1959,2016,50,44.2 km (27.5 mi),184.6 (2019)
Doha,Qatar,Doha Metro,2019,2019,37,76 km (47 mi),-
Bucharest,Romania,Bucharest Metro,1979,2022,56,80.1 km (49.8 mi),179.2 (2019)
Kazan,Russia,Kazan Metro,2005,2018,11,16.8 km (10.4 mi),30.5 (2022)
Moscow,Russia,Moscow Metro,1935,2023,289,461.5 km (286.8 mi),"2,061.8 (2022)"
Nizhny Novgorod,Russia,Nizhny Novgorod Metro,1985,2018,15,21.82 km (13.56 mi),29.9 (2022)
